aDate;target_name;target_ticker;buyer_name;buyer_ticker
19.01.10;Williams Pipeline Partners LP;WMZ^I10;Williams Partners LP;WPZ^B15
11.02.10;Allegheny Energy Inc;AYE^B11;FirstEnergy Corp;FE
21.02.10;Smith International Inc;SII^H10;Schlumberger Ltd;SLB
10.03.10;Facet Biotech Corp;FACT.O^E10;Abbott Laboratories;ABT
29.03.10;Bell Microproducts Inc;BELM.O^G10;Avnet Inc;AVT.O
04.04.10;Arena Resources Inc;ARD^G10;SandRidge Energy Inc;SD
15.04.10;Mariner Energy Inc;MEGY.O^L00;Apache Corp;APA_pd^H13
16.04.10;Phase Forward Inc;PFWD.O^H10;Oracle Corp;ORCL.K
21.04.10;CyberSource Corp;CYBS.O^H10;Visa Inc;V
28.04.10;Palm Inc;PALM.O^G10;Hewlett Packard Co;HPQ
03.05.10;Continental Airlines Inc;CAL^J10;UAL Corp;UAL.O
17.05.10;Psychiatric Solutions Inc;PSYS.O^K10;Universal Health Services Inc;UHS
24.05.10;Odyssey HealthCare Inc;ODSY.O^H10;Gentiva Health Services Inc;GTIV.O^B15
09.06.10;Eclipsys Corp;ECLP.O^H10;Allscripts-Misys Healthcare Solutions Inc;MDRX.PK
11.06.10;Buckeye GP Holdings LP;BGH^K10;Buckeye Partners LP;BPL^K19
21.06.10;American Italian Pasta Co;AIPC.O^H10;Ralcorp Holdings Inc;RAH^A13
30.06.10;Argon ST Inc;STST.O^H10;Boeing Co;BA
15.07.10;Terrane Metals Corp;33T.F^J10;Thompson Creek Metals Co Inc;TCM.TO^J16
09.08.10;Inergy Holdings LP;NRGP.K^K10;Inergy LP;NRGY_w.K^F13
19.08.10;NewAlliance Bancshares Inc, New Haven,Connecticut;NAL^D11;First Niagara Financial Group Inc;FNFG.O^H16
23.08.10;3PAR Inc;PAR^I10;Hewlett Packard Co;HPQ
30.08.10;Cogent Inc;COGT.O^L10;3M Co;MMM
07.09.10;Enterprise GP Holdings LP;EPE^K10;Enterprise Products Partners LP;EPD
