,Instrument
0,MDT.N
1,TSLA.OQ
2,MDLZ.OQ
3,CINF.OQ
4,ES.N
5,CSCO.OQ
6,NRG.N
7,NFLX.OQ
8,APA.OQ
9,ATO.N
10,KLAC.OQ
11,ADSK.OQ
12,GLW.N
13,HUBB.N
14,FFIV.OQ
15,BDX.N
16,PEG.N
17,BR.N
18,META.OQ
19,ROP.OQ
20,MAA.N
21,HD.N
22,PG.N
23,FDS.N
24,ODFL.OQ
25,GEHC.OQ
26,UAL.OQ
27,FCX.N
28,NOC.N
29,FIX.N
30,SNDK.OQ
31,EVRG.OQ
32,ETN.N
33,TAP.N
34,LIN.OQ
35,AMZN.OQ
36,MNST.OQ
37,ESS.N
38,JNJ.N
39,NVDA.OQ
40,PNR.N
41,DHI.N
42,JBL.N
43,IP.N
44,KMI.N
45,EL.N
46,MLM.N
47,LYB.N
48,VZ.N
49,VICI.N
50,CMS.N
51,CSGP.OQ
52,TPL.N
53,TDY.N
54,WDC.OQ
55,MAR.OQ
56,EXR.N
57,GILD.OQ
58,EME.N
59,GL.N
60,V.N
61,LNT.OQ
62,DE.N
63,DECK.N
64,MSCI.N
65,HOOD.OQ
66,VLTO.N
67,AOS.N
68,VST.N
69,AWK.N
70,CTVA.N
71,TRGP.N
72,TRV.N
73,TXN.OQ
74,AMGN.OQ
75,DTE.N
76,GOOG.OQ
77,HWM.N
78,WM.N
79,SLB.N
80,ABBV.N
81,AMAT.OQ
82,PSX.N
83,PFG.OQ
84,DVN.N
85,SCHW.N
86,MMC.N
87,OMC.N
88,URI.N
89,EPAM.N
90,SNPS.OQ
91,CHRW.OQ
92,CPT.N
93,XYZ.N
94,EQR.N
95,ROK.N
96,PRU.N
97,CARR.N
98,CAT.N
99,GDDY.N
100,SPGI.N
101,LW.N
102,CCI.N
103,CRWD.OQ
104,BLK.N
105,GPN.N
106,UNP.N
107,EFX.N
108,ANET.N
109,JPM.N
110,CSX.OQ
111,AMD.OQ
112,COP.N
113,TER.OQ
114,STLD.OQ
115,QCOM.OQ
116,CMG.N
117,LLY.N
118,MET.N
119,PFE.N
120,ARE.N
121,PTC.OQ
122,CMCSA.OQ
123,KHC.OQ
124,ACGL.OQ
125,TFC.N
126,IEX.N
127,C.N
128,AXP.N
129,WRB.N
130,SMCI.OQ
131,BAC.N
132,MSFT.OQ
133,AMP.N
134,HPQ.N
135,GIS.N
136,AEE.N
137,ABT.N
138,DLR.N
139,ULTA.OQ
140,FTNT.OQ
141,WST.N
142,NOW.N
143,BA.N
144,AMT.N
145,LUV.N
146,O.N
147,EQIX.OQ
148,RCL.N
149,ADBE.OQ
150,GRMN.N
151,EQT.N
152,RSG.N
153,STE.N
154,ERIE.OQ
155,HPE.N
156,BRKb.N
157,PKG.N
158,IDXX.OQ
159,CBOE.Z
160,HBAN.OQ
161,COST.OQ
162,NCLH.N
163,KR.N
164,ZBRA.OQ
165,ADM.N
166,FITB.OQ
167,REGN.OQ
168,EXPD.N
169,IVZ.N
170,TGT.N
171,BXP.N
172,VTR.N
173,CMI.N
174,DGX.N
175,EA.OQ
176,SOLV.N
177,RJF.N
178,CPAY.N
179,CVX.N
180,AKAM.OQ
181,PCAR.OQ
182,KIM.N
183,WAB.N
184,ETR.N
185,EXC.OQ
186,ZTS.N
187,MAS.N
188,MCD.N
189,AVGO.OQ
190,CVS.N
191,LOW.N
192,ICE.N
193,NDSN.OQ
194,LII.N
195,INVH.N
196,HCA.N
197,BKNG.OQ
198,DELL.N
199,APTV.N
200,MOS.N
201,SYF.N
202,UPS.N
203,MKC.N
204,AVY.N
205,COO.OQ
206,LULU.OQ
207,IRM.N
208,KEY.N
209,EXE.OQ
