,Instrument,ESG Score,Date
0,A2.MI,73.8239394927051,2023-12-31
1,AAF.L,53.8644275800733,2022-03-31
2,AAK.ST,66.5653521583668,2023-12-31
3,AAL.L,79.8733768433557,2023-12-31
4,AALB.AS,60.5869472124609,2023-12-31
5,ABBN.S,91.4742328154398,2023-12-31
6,ABDN.L,84.0829112348055,2023-12-31
7,ABF.L,63.3922489608335,2023-09-16
8,ABI.BR,76.4140330274976,2022-12-31
9,ABNd.AS,68.5201256730413,2022-12-31
10,ACCP.PA,82.3098580646177,2023-12-31
11,ACKB.BR,53.338187216316,2023-12-31
12,ACLN.S,53.5911522158937,2023-12-31
13,ACPP.WA,55.2250419023464,2022-12-31
14,ACS.MC,76.3832895898368,2023-12-31
15,AD.AS,73.889004308316,2023-12-31
16,ADDTb.ST,43.0928754465851,2023-03-31
17,ADEN.S,60.7891081731985,2023-12-31
18,ADML.L,55.1256664277303,2023-12-31
19,ADP.PA,63.137128912713,2023-12-31
20,ADSGn.DE,90.151970947086,2023-12-31
21,ADYEN.AS,63.7285850505356,2023-12-31
22,AEGN.AS,85.822263765115,2023-12-31
23,AENA.MC,67.7795314721877,2023-12-31
24,AG1G.DE,48.3859777909405,2023-12-31
25,AGES.BR,72.2384316286081,2023-12-31
26,AHT.L,56.9830504666477,2023-04-30
27,AIBG.I,77.7132019802894,2023-12-31
28,AIR.PA,83.4932411958842,2023-12-31
29,AIRP.PA,80.8362818919422,2023-12-31
30,AKE.PA,79.14142114222,2023-12-31
31,AKRBP.OL,69.4119748657196,2023-12-31
32,AKZO.AS,77.02880379927,2023-12-31
33,ALCC.S,80.3060744156167,2022-12-31
34,ALEP.WA,61.1555897251296,2023-12-31
35,ALFA.ST,72.6356682652123,2023-12-31
36,ALKb.CO,66.3042648366073,2023-12-31
37,ALLFG.AS,59.1988171564142,2023-12-31
38,ALLN.S,41.9888098984247,2022-12-31
39,ALSO.PA,88.2468862936591,2023-03-31
40,ALSYDB.CO,43.0484047767402,2023-12-31
41,ALVG.DE,87.3243831439742,2023-12-31
42,AM.PA,51.1003976428071,2023-12-31
43,AMA.MC,89.0386880231195,2023-12-31
44,AMBUb.CO,69.9006738007403,2022-09-30
45,AMPF.MI,67.1321933612731,2023-12-31
46,AMUN.PA,60.6726482395803,2023-12-31
47,ANA.MC,86.3575413915979,2023-12-31
48,ANDR.VI,74.9509114599375,2022-12-31
49,ANTO.L,72.1845878921786,2023-12-31
50,AOO.BR,81.5200999364908,2023-12-31
51,ARDS.AS,60.9524236861196,2023-12-31
52,ARGX.BR,69.8396858698478,2023-12-31
53,ASMI.AS,73.3616068998821,2023-12-31
54,ASML.AS,76.3799719769767,2023-12-31
55,ASRNL.AS,84.6426754211218,2023-12-31
56,ASSAb.ST,73.4768863627315,2023-12-31
57,ATCOa.ST,79.4657910803714,2023-12-31
58,AUTOA.L,60.0401033934065,2023-03-31
59,AV.L,67.2676835563787,2023-12-31
60,AVANZ.ST,62.9590780650729,2023-12-31
61,AVOL.S,60.5602243945484,2023-12-31
62,AXAF.PA,81.3982153355622,2023-12-31
63,AXFO.ST,69.2344860053767,2023-12-31
