,Instrument,ESG Score,Date
0,A.N,87.6018348069556,2018-10-31
1,AAPL.OQ,67.7769012300761,2019-09-28
2,ABBV.N,80.9733365140603,2020-12-31
3,ACGL.OQ,41.9467557072112,2020-12-31
4,ACN.N,81.1377280828192,2019-08-31
5,ADBE.OQ,69.0364016800559,2019-11-29
6,ADI.OQ,71.843472456877,2019-11-02
7,ADM.N,83.2025699841767,2020-12-31
8,ADP.OQ,77.5200231733853,2019-06-30
9,ADSK.OQ,82.8107505413157,2019-01-31
10,AEE.N,42.8051483931297,2019-12-31
11,AEP.OQ,70.5174599211772,2020-12-31
12,AES.N,71.0808073888146,2020-12-31
13,AFL.N,53.2145260597208,2020-12-31
14,AIG.N,61.959595986888,2019-12-31
15,AIZ.N,66.2195164890873,2020-12-31
16,AJG.N,53.0291959316874,2019-12-31
17,AKAM.OQ,57.4489720840464,2019-12-31
18,ALB.N,65.330089727769,2019-12-31
19,ALGN.OQ,49.188543363309,2020-12-31
20,ALL.N,71.9527303405094,2020-12-31
21,ALLE.N,67.8095688466614,2020-12-31
22,AMAT.OQ,78.7660288223333,2019-10-27
23,AMCR.N,65.2424804692692,2019-06-30
24,AMD.OQ,68.8847739708815,2019-12-28
25,AME.N,56.6691983032256,2020-12-31
26,AMGN.OQ,80.4193688682883,2020-12-31
27,AMP.N,78.9346617452445,2020-12-31
28,AMT.N,71.0755784992198,2019-12-31
29,AMZN.OQ,86.7166689793087,2020-12-31
30,ANET.N,61.3181303306967,2020-12-31
31,AON.N,62.6513175362821,2019-12-31
32,AOS.N,51.7616580748639,2019-12-31
33,APA.OQ,58.6919651965436,2019-12-31
34,APD.N,78.9758646032496,2019-09-30
35,APH.N,69.6356586508461,2020-12-31
36,APO.N,44.6969945950063,2020-12-31
37,APTV.N,53.2130530961684,2018-12-31
38,ARES.N,46.0665743849418,2020-12-31
39,ATO.N,29.1331001080303,2018-09-30
40,AVB.N,75.7230106937636,2020-12-31
41,AVGO.OQ,70.3100355585252,2020-11-01
42,AWK.N,80.7424997194235,2020-12-31
43,AXON.OQ,23.3393286228128,2019-12-31
44,AZO.N,58.8890491849274,2019-08-31
45,BA.N,78.8481713785228,2020-12-31
46,BAC.N,84.3869808943637,2020-12-31
47,BALL.N,73.7004134571829,2020-12-31
48,BAX.N,78.5792909676637,2020-12-31
49,BBY.N,69.463243139426,2020-02-01
50,BDX.N,79.8127670613509,2019-09-30
51,BEN.N,55.112380972965,2019-09-30
52,BFb.N,54.0313572876581,2019-04-30
53,BG.N,77.6885457748237,2019-12-31
54,BIIB.OQ,78.2191702339424,2020-12-31
55,BK.N,66.3528867232352,2019-12-31
56,BKNG.OQ,47.0877305996772,2020-12-31
57,BKR.OQ,89.5133595968164,2020-12-31
58,BLDR.N,25.4373300788701,2019-12-31
59,BLK.N,75.0821353555685,2019-12-31
60,BMY.N,79.6463200879992,2020-12-31
61,BR.N,72.3268108836391,2020-06-30
62,BRKb.N,24.8604083284472,2020-12-31
63,BRO.N,31.2317342873939,2019-12-31
64,BSX.N,81.8316593731885,2020-12-31
65,BX.N,33.1661691930239,2020-12-31
66,BXP.N,74.7922711992672,2020-12-31
67,C.N,88.4070094437756,2020-12-31
68,CAG.N,67.5693815272491,2019-05-26
69,CAH.N,76.9913571039707,2019-06-30
70,CARR.N,59.5747790504581,2020-12-31
71,CAT.N,74.6162562975759,2020-12-31
72,CB.N,49.3896871442472,2020-12-31
73,CBOE.Z,59.4078902233151,2020-12-31
74,CBRE.N,88.1830901960058,2019-12-31
75,CCI.N,67.1675378814294,2019-12-31
76,CCL.N,85.0659615007295,2019-11-30
77,CDW.OQ,44.5764248583313,2019-12-31
78,CF.N,66.2033468371421,2020-12-31
79,CFG.N,67.2491692250257,2020-12-31
80,CHRW.OQ,44.2708930391756,2020-12-31
81,CI.N,69.6342864081478,2019-12-31
82,CIEN.N,58.2864373712657,2019-10-31
83,CINF.OQ,50.4909743224245,2019-12-31
84,CL.N,81.1476912134546,2019-12-31
85,CLX.N,68.4332681268859,2020-06-30
86,CMCSA.OQ,55.5644255155758,2019-12-31
87,CME.OQ,51.2947523124409,2020-12-31
88,CMG.N,54.2339655203203,2019-12-31
89,CMI.N,70.0564384766234,2020-12-31
90,CMS.N,56.4535127439201,2019-12-31
91,CNC.N,62.1302523760799,2020-12-31
92,CNP.N,42.1519810384644,2019-12-31
93,COF.N,78.4094187032104,2019-12-31
94,COO.OQ,59.4192208121833,2020-10-31
95,COP.N,68.7655416807054,2019-12-31
96,COR.N,74.6080306796442,2020-09-30
97,COST.OQ,65.5144289952454,2019-09-01
98,CPAY.N,41.6682927404992,2019-12-31
99,CPRT.OQ,44.0570843321104,2019-07-31
100,CPT.N,50.3956343375714,2019-12-31
101,CRH.N,92.0371373629652,2020-12-31
102,CRL.N,70.888083297631,2019-12-28
103,CRM.N,60.7863920586039,2019-01-31
104,CRWD.OQ,25.9864199344325,2020-01-31
105,CSCO.OQ,87.6830210385489,2019-07-27
106,CSGP.OQ,52.6724615589803,2020-12-31
107,CSX.OQ,57.2530931111811,2020-12-31
108,CTAS.OQ,60.5414871477774,2019-05-31
109,CTRA.N,29.9933364673507,2020-12-31
110,CTSH.OQ,69.9947605633171,2020-12-31
111,CTVA.N,36.8874101145857,2019-12-31
112,CVNA.N,22.7315200427086,2020-12-31
113,CVS.N,82.8546129356714,2020-12-31
114,CVX.N,83.2538637076434,2020-12-31
115,D.N,82.6079127952351,2019-12-31
116,DAL.N,69.0232892960664,2020-12-31
117,DASH.OQ,35.3136086330559,2020-12-31
118,DD.N,67.7681074858236,2020-12-31
119,DDOG.OQ,13.5003676333067,2019-12-31
120,DE.N,68.5613160733715,2019-11-03
121,DECK.N,57.6978628994904,2019-03-31
122,DELL.N,53.9576487073776,2019-02-01
123,DG.N,42.3980988091599,2019-02-01
124,DGX.N,68.8099701337015,2020-12-31
125,DHI.N,38.8039117222373,2019-09-30
126,DHR.N,80.7177075647424,2020-12-31
127,DIS.N,69.3215428927682,2018-09-29
128,DLR.N,74.2563655948374,2019-12-31
129,DLTR.OQ,40.9210639164693,2019-02-02
130,DOC.N,81.344519821479,2018-12-31
131,DOV.N,58.0086363368879,2019-12-31
132,DOW.N,83.2280732569084,2020-12-31
133,DPZ.OQ,25.7697533680055,2018-12-30
134,DRI.N,58.851162106247,2020-05-31
135,DTE.N,76.8744392415855,2019-12-31
136,DUK.N,68.3767652158914,2019-12-31
137,DVA.N,54.5076010361492,2019-12-31
138,DVN.N,53.047895320608,2019-12-31
139,DXCM.OQ,44.6168507449406,2020-12-31
140,EA.OQ,54.4657988242336,2019-03-31
141,EBAY.OQ,60.3194743143325,2019-12-31
142,ECL.N,77.2586102348565,2020-12-31
143,ED.N,64.7474966341393,2020-12-31
144,EFX.N,45.9213347788595,2020-12-31
145,EG.N,56.6307294897499,2020-12-31
146,EIX.N,83.499129327818,2020-12-31
147,EL.N,67.7200706498122,2020-06-30
148,ELV.N,89.9766269776546,2020-12-31
149,EME.N,54.6234163316374,2019-12-31
150,EMR.N,73.1143961864454,2019-09-30
151,EOG.N,50.957520234687,2019-12-31
152,EPAM.N,66.714979843824,2020-12-31
153,EQIX.OQ,64.2553902075177,2020-12-31
154,EQR.N,67.5751265408759,2019-12-31
155,EQT.N,45.8402230803203,2020-12-31
156,ERIE.OQ,46.8399769528375,2020-12-31
157,ES.N,72.381495655713,2020-12-31
158,ESS.N,64.9330081793502,2019-12-31
159,ETN.N,67.1864873734593,2020-12-31
160,ETR.N,64.0720442109143,2019-12-31
161,EVRG.OQ,49.9384130405197,2019-12-31
162,EW.N,65.1185158907463,2020-12-31
163,EXC.OQ,58.221110349539,2020-12-31
164,EXE.OQ,60.99872664204,2020-12-31
165,EXPD.N,54.9260126396579,2020-12-31
166,EXPE.OQ,41.9662318146758,2020-12-31
167,EXR.N,33.5125384941494,2019-12-31
168,F.N,76.6378411640206,2020-12-31
169,FANG.OQ,47.6438332408073,2019-12-31
170,FAST.OQ,40.3458224389599,2019-12-31
171,FCX.N,81.6457604811339,2020-12-31
172,FDS.N,62.0457298486856,2019-08-31
173,FDX.N,76.9782412158706,2018-05-31
174,FE.N,68.8061920266587,2019-12-31
175,FFIV.OQ,66.0293037786047,2019-09-30
176,FICO.N,48.0058332872922,2019-09-30
177,FIS.N,62.1946300476531,2020-12-31
178,FISV.OQ,35.2354316916979,2020-12-31
179,FITB.OQ,72.3512549766592,2019-12-31
180,FIX.N,35.8882308494682,2020-12-31
181,FOX.OQ,63.2994971328927,2020-06-30
182,FOXA.OQ,63.2994971328927,2020-06-30
183,FRT.N,79.610040156097,2020-12-31
184,FSLR.OQ,73.4543066343898,2020-12-31
185,FTNT.OQ,56.6184465569509,2020-12-31
186,FTV.N,52.1147710435825,2020-12-31
187,GD.N,63.3741398460488,2019-12-31
188,GDDY.N,57.2467873690521,2020-12-31
189,GE.N,85.5471841493691,2019-12-31
190,GEN.OQ,76.0305144925032,2020-04-03
191,GILD.OQ,83.953219346463,2019-12-31
192,GIS.N,76.4124546527316,2019-05-26
193,GL.N,47.8454644304415,2020-12-31
194,GLW.N,52.3684960896151,2019-12-31
195,GM.N,81.8017398680928,2019-12-31
196,GOOG.OQ,77.6658348352224,2019-12-31
197,GPC.N,40.4541877130584,2019-12-31
198,GPN.N,27.7346264082662,2019-12-31
199,GRMN.N,61.58695806742,2019-12-28
200,GS.N,80.5857890112024,2019-12-31
201,GWW.N,72.1231996246011,2019-12-31
